run_id,asset_id,horizon,window_type,candidate_feature_set,model_name,n_samples,policy_source,long_threshold_median,expected_return_min_median,threshold_050_used,threshold_050_diagnostic_only,active_signal_count,active_coverage,abstention_rate,active_hit_rate,missed_up_month_rate,after_cost_return,max_drawdown,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,risk_off_count,risk_off_rate,risk_off_hit_rate,risk_off_avg_return,risk_off_probability_threshold_median,valid_signal_policy,high_confidence_policy_eligible,promoted_signal_policy,rejection_reason
btc_research_20260529T094658Z,btc,30,official_monthly,all_features,hgb,0,train_calibration_only,,,False,True,0,0.0,1.0,,,,,,,,0,0.0,,,,False,False,False,empty_predictions
btc_research_20260529T094658Z,btc,30,official_monthly,btc_dollar_rates_cycle,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,52,0.52,0.48,0.5576923076923077,0.43137254901960786,5.819220501763768,-0.5436765438281226,0.42740384615384613,0.6923076923076923,0.22310756972111553,30,0.3,0.6,-0.00042123373060484195,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,core_price_macro_risk,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,51,0.51,0.49,0.6274509803921569,0.37254901960784315,10.998897448829407,-0.4294903282393203,0.49019607843137253,0.7602941176470589,0.00796812749003984,16,0.16,0.5625,0.006892609427531893,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,price_plus_dollar_rates,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,54,0.54,0.45999999999999996,0.5555555555555556,0.4117647058823529,3.9674938305433924,-0.5722001333859349,0.4115740740740741,0.6851851851851852,0.19123505976095617,21,0.21,0.5714285714285714,-0.02395356720737351,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,price_plus_stablecoins,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,45,0.45,0.55,0.5777777777777777,0.49019607843137253,5.604865865308036,-0.4294903282393202,0.4222222222222222,0.7111111111111111,0.18326693227091634,20,0.2,0.45,5.931026692452268e-05,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_derivatives_pack,logistic_linear,0,train_calibration_only,,,False,True,0,0.0,1.0,,,,,,,,0,0.0,,,,False,False,False,empty_predictions
btc_research_20260529T094658Z,btc,30,official_monthly,btc_dollar_rates_cycle_plus_derivatives_pack,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,52,0.52,0.48,0.5576923076923077,0.43137254901960786,5.819220501763768,-0.5436765438281226,0.42740384615384613,0.6923076923076923,0.22310756972111553,30,0.3,0.6,-0.00042123373060484195,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_macro_liquidity,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,57,0.57,0.43000000000000005,0.5263157894736842,0.4117647058823529,6.655951121266745,-0.49613074392105516,0.40350877192982454,0.6627192982456142,0.47410358565737054,16,0.16,0.625,0.006188769212111145,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_macro_liquidity_v2,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,57,0.57,0.43000000000000005,0.5263157894736842,0.4117647058823529,6.655951121266745,-0.49613074392105516,0.40350877192982454,0.6627192982456142,0.47410358565737054,16,0.16,0.625,0.006188769212111145,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_dollar_rates_cycle_v2,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,44,0.44,0.56,0.5227272727272727,0.5490196078431373,2.143389996461646,-0.4550548671178909,0.39147727272727273,0.6818181818181818,0.4860557768924303,22,0.22,0.5909090909090909,-0.004378491845880996,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_derivatives_v2_pack,logistic_linear,0,train_calibration_only,,,False,True,0,0.0,1.0,,,,,,,,0,0.0,,,,False,False,False,empty_predictions
btc_research_20260529T094658Z,btc,30,official_monthly,btc_dollar_rates_cycle_plus_derivatives_v2,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,52,0.52,0.48,0.5576923076923077,0.43137254901960786,5.819220501763768,-0.5436765438281226,0.42740384615384613,0.6923076923076923,0.22310756972111553,30,0.3,0.6,-0.00042123373060484195,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_dominance_regime_pack,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,51,0.51,0.49,0.5686274509803921,0.43137254901960786,6.208773422219936,-0.4067019479057765,0.4117647058823529,0.7058823529411765,0.17131474103585656,22,0.22,0.5,0.024682681436702856,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_stablecoin_liquidity_v2,logistic_linear,29,train_calibration_only,0.55,0.0,False,True,17,0.5862068965517241,0.4137931034482759,0.47058823529411764,0.5,0.5328028544023973,-0.2743757578776984,0.23529411764705882,0.6470588235294118,0.9482071713147411,2,0.06896551724137931,0.0,0.24146078659235537,0.45,True,False,False,weak_active_hit_rate; failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_etf_flow_pack,logistic_linear,0,train_calibration_only,,,False,True,0,0.0,1.0,,,,,,,,0,0.0,,,,False,False,False,empty_predictions
btc_research_20260529T094658Z,btc,30,official_monthly,btc_dollar_rates_cycle_plus_dominance,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,53,0.53,0.47,0.5660377358490566,0.4117647058823529,10.417274287414706,-0.5374745503669791,0.43820754716981136,0.7127358490566038,0.13545816733067728,24,0.24,0.5833333333333334,-0.014456684654102584,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_dollar_rates_cycle_plus_stablecoin_v2,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,45,0.45,0.55,0.5555555555555556,0.5098039215686274,4.297633957945883,-0.5446444638662782,0.405,0.683888888888889,0.2868525896414343,29,0.29,0.6206896551724138,-0.009099312676794653,0.45,True,True,False,failed_bootstrap_or_permutation_check
btc_research_20260529T094658Z,btc,30,official_monthly,btc_core_liquidity_regime_v2,logistic_linear,100,train_calibration_only,0.55,0.0,False,True,48,0.48,0.52,0.5208333333333334,0.5098039215686274,2.5921185665423443,-0.5227650586431314,0.375,0.6875,0.4342629482071713,18,0.18,0.5,0.02356470058279551,0.45,True,True,False,failed_bootstrap_or_permutation_check
