date,solana_tvl_usd
2021-03-18,148988798
2021-03-19,153204289
2021-03-20,147690914
2021-03-21,151935325
2021-03-22,152981122
2021-03-23,162065403
2021-03-24,156101311
2021-03-25,144439504
2021-03-26,135610450
2021-03-27,147786656
2021-03-28,172583244
2021-03-29,189014228
2021-03-30,202157669
2021-03-31,209794033
2021-04-01,216074736
2021-04-02,236083655
2021-04-03,236307232
2021-04-04,236512420
2021-04-05,236284645
2021-04-06,272660066
2021-04-07,268791821
2021-04-08,279546575
2021-04-09,294784827
2021-04-10,331055199
2021-04-11,647826457
2021-04-12,739114210
2021-04-13,725197241
2021-04-14,789380856
2021-04-15,845183863
2021-04-16,832431640
2021-04-17,824389987
2021-04-18,731812653
2021-04-19,752985413
2021-04-20,679436372
2021-04-21,829344535
2021-04-22,856891182
2021-04-23,944231588
2021-04-24,901200587
2021-04-25,916208113
2021-04-26,1069894340
2021-04-27,1276677940
2021-04-28,1329654493
2021-04-29,1323930069
2021-04-30,1251700240
2021-05-01,1355254181
2021-05-02,1470780217
2021-05-03,1540847058
2021-05-04,1556253722
2021-05-05,1508702507
2021-05-06,1539822922
2021-05-07,1537938603
2021-05-08,1548041003
2021-05-09,1599948716
2021-05-10,1622269712
2021-05-11,1571029533
2021-05-12,1633176756
2021-05-13,1435048916
2021-05-14,1496478540
2021-05-15,1382212605
2021-05-16,1549574579
2021-05-17,1125804868
2021-05-18,1296947874
2021-05-19,875150588
2021-05-20,973602542
2021-05-21,715568965
2021-05-22,790006618
2021-05-23,658552593
2021-05-24,768757432
2021-05-25,612657114
2021-05-26,857310002
2021-05-27,850953177
2021-05-28,791685442
2021-05-29,736826756
2021-05-30,813407821
2021-05-31,880378004
2021-06-01,670808190
2021-06-02,848207713
2021-06-03,760054301
2021-06-04,740082595
2021-06-05,725056470
2021-06-06,742389346
2021-06-07,735811188
2021-06-08,691338751
2021-06-09,689235758
2021-06-10,638617904
2021-06-11,556162146
2021-06-12,534624148
2021-06-13,541039253
2021-06-14,556519807
2021-06-15,584211544
2021-06-16,547748099
2021-06-17,540478965
2021-06-18,516185477
2021-06-19,502604659
2021-06-20,506128155
2021-06-21,466164686
2021-06-22,447502806
2021-06-23,444512249
2021-06-24,448430968
2021-06-25,451721654
2021-06-26,423082407
2021-06-27,449526718
2021-06-28,463489716
2021-06-29,479139300
2021-06-30,491278563
2021-07-01,507472546
2021-07-02,790560134
2021-07-03,869787883
2021-07-04,873447775
2021-07-05,853035678
2021-07-06,885504288
2021-07-07,898078492
2021-07-08,855072856
2021-07-09,858662277
2021-07-10,848788419
2021-07-11,855127871
2021-07-12,832663878
2021-07-13,822681126
2021-07-14,831885719
2021-07-15,785680901
2021-07-16,781718509
2021-07-17,876082630
2021-07-18,886311874
2021-07-19,861778925
2021-07-20,854373926
2021-07-21,891610557
2021-07-22,919195017
2021-07-23,949581083
2021-07-24,970500585
2021-07-25,986521609
2021-07-26,997549981
2021-07-27,1023543513
2021-07-28,1066854851
2021-07-29,1135937952
2021-07-30,1192566473
2021-07-31,1244169934
2021-08-01,1204468607
2021-08-02,1235666585
2021-08-03,1245829134
2021-08-04,1290175469
2021-08-05,1364332725
2021-08-06,1314146303
2021-08-07,1327362329
2021-08-08,1304155428
2021-08-09,1361913466
2021-08-10,1343991879
2021-08-11,1343511250
2021-08-12,1402560821
2021-08-13,1463369152
2021-08-14,1508051128
2021-08-15,1631699574
2021-08-16,1729658494
2021-08-17,1786087699
2021-08-18,1997161281
2021-08-19,2103736573
2021-08-20,2274158627
2021-08-21,2275112735
2021-08-22,2218000709
2021-08-23,2250117206
2021-08-24,2204595033
2021-08-25,2193191447
2021-08-26,2253275462
2021-08-27,2439598288
2021-08-28,2567798841
2021-08-29,2593429466
2021-08-30,2709652837
2021-08-31,2735864216
2021-09-01,2877963189
2021-09-02,3029584099
2021-09-03,3191574878
2021-09-04,3328505721
2021-09-05,3546418518
2021-09-06,4208649902
2021-09-07,3966327656
2021-09-08,4816807931
2021-09-09,5658526091
2021-09-10,6350729997
2021-09-11,6694664395
2021-09-12,7604633492
2021-09-13,7326415290
2021-09-14,7151040149
2021-09-15,7131258837
2021-09-16,6704300350
2021-09-17,6483722696
2021-09-18,7201356137
2021-09-19,6882391944
2021-09-20,5953651385
2021-09-21,5543049946
2021-09-22,6276025425
2021-09-23,6556372861
2021-09-24,6268148421
2021-09-25,6353408537
2021-09-26,6342540190
2021-09-27,6323728768
2021-09-28,6147041840
2021-09-29,6277367087
2021-09-30,6617236505
2021-10-01,7114242817
2021-10-02,7220803330
2021-10-03,7441217915
2021-10-04,7300749820
2021-10-05,7270422667
2021-10-06,6900156538
2021-10-07,6649879818
2021-10-08,6650989615
2021-10-09,6668108737
2021-10-10,6535290908
2021-10-11,6552348938
2021-10-12,6623123168
2021-10-13,7787820635
2021-10-14,7865264964
2021-10-15,7534917475
2021-10-16,7621040592
2021-10-17,7925872554
2021-10-18,7640107857
2021-10-19,7461956613
2021-10-20,7466363059
2021-10-21,7933436821
2021-10-22,7868042413
2021-10-23,7707026730
2021-10-24,8115070507
2021-10-25,8183788321
2021-10-26,8449789045
2021-10-27,8219139877
2021-10-28,7726205440
2021-10-29,8027081125
2021-10-30,7920353255
2021-10-31,7853513235
2021-11-01,8115703748
2021-11-02,8115212180
2021-11-03,8526959834
2021-11-04,9794133173
2021-11-05,9804364557
2021-11-06,9659963037
2021-11-07,9961743713
2021-11-08,9933530531
2021-11-09,10027276058
2021-11-10,9708705937
2021-11-11,9305929286
2021-11-12,9610132340
2021-11-13,9509495458
2021-11-14,9676660601
2021-11-15,9597029012
2021-11-16,9400644816
2021-11-17,8934429975
2021-11-18,8963456377
2021-11-19,8284863411
2021-11-20,8734078017
2021-11-21,8721983483
2021-11-22,8701078197
2021-11-23,8333533673
2021-11-24,8436786678
2021-11-25,8548154789
2021-11-26,8558940009
2021-11-27,7975727436
2021-11-28,7977267278
2021-11-29,8213629197
2021-11-30,8423492804
2021-12-01,8477726900
2021-12-02,8690625487
2021-12-03,8573321674
2021-12-04,8217718286
2021-12-05,7228674575
2021-12-06,7090293935
2021-12-07,7090818319
2021-12-08,7024538846
2021-12-09,7232216943
2021-12-10,6951538211
2021-12-11,6358872890
2021-12-12,6478340403
2021-12-13,6562382733
2021-12-14,6368195884
2021-12-15,6448505134
2021-12-16,6774841742
2021-12-17,6736445335
2021-12-18,6598505688
2021-12-19,6914154542
2021-12-20,6833148072
2021-12-21,6626928722
2021-12-22,6822615143
2021-12-23,6777634406
2021-12-24,7089737850
2021-12-25,7064679087
2021-12-26,7023307330
2021-12-27,7140271136
2021-12-28,7050882480
2021-12-29,6732377650
2021-12-30,6561190253
2021-12-31,6432190593
2022-01-01,6559829856
2022-01-02,6700501937
2022-01-03,6704021952
2022-01-04,6517690974
2022-01-05,6593987447
2022-01-06,6238078126
2022-01-07,6002713804
2022-01-08,5518693723
2022-01-09,5382213690
2022-01-10,5476959880
2022-01-11,5223230801
2022-01-12,5341695413
2022-01-13,5472717669
2022-01-14,5311961489
2022-01-15,5392655938
2022-01-16,5518692262
2022-01-17,5559393537
2022-01-18,5491635457
2022-01-19,5487748614
2022-01-20,5613992223
2022-01-21,5399515576
2022-01-22,4843182721
2022-01-23,4514168198
2022-01-24,4466301676
2022-01-25,4376219740
2022-01-26,4467853090
2022-01-27,4485182525
2022-01-28,4429324066
2022-01-29,4590744235
2022-01-30,4730291107
2022-01-31,4600023965
2022-02-01,4751626794
2022-02-02,4929584825
2022-02-03,4223013963
2022-02-04,4410536014
2022-02-05,4785167923
2022-02-06,4875181830
2022-02-07,4840454317
2022-02-08,4915969584
2022-02-09,4860926395
2022-02-10,5090786283
2022-02-11,4895276509
2022-02-12,4686624486
2022-02-13,4623671635
2022-02-14,4587772050
2022-02-15,4634247200
2022-02-16,4777078817
2022-02-17,4706100610
2022-02-18,4573603903
2022-02-19,4494109740
2022-02-20,4441454304
2022-02-21,4452219037
2022-02-22,4327820079
2022-02-23,4319769339
2022-02-24,4170613845
2022-02-25,4254827322
2022-02-26,4295698123
2022-02-27,4272832360
2022-02-28,4085776340
2022-03-01,4409302548
2022-03-02,4358228042
2022-03-03,4297796873
2022-03-04,4184239542
2022-03-05,4085354776
2022-03-06,4054125002
2022-03-07,4052971283
2022-03-08,3965703556
2022-03-09,3928900001
2022-03-10,4137838843
2022-03-11,3951124719
2022-03-12,4155248962
2022-03-13,4249152047
2022-03-14,3989486056
2022-03-15,4221273115
2022-03-16,4170711031
2022-03-17,4205653757
2022-03-18,4109065053
2022-03-19,4387202498
2022-03-20,4324845347
2022-03-21,4223037741
2022-03-22,4241576802
2022-03-23,4091108110
2022-03-24,4121617332
2022-03-25,4148626289
2022-03-26,4068416159
2022-03-27,4302593105
2022-03-28,4249579831
2022-03-29,4337223936
2022-03-30,4273232601
2022-03-31,4447464439
2022-04-01,4481773935
2022-04-02,4731102037
2022-04-03,4731619939
2022-04-04,4808549261
2022-04-05,4825021968
2022-04-06,4596447269
2022-04-07,4381090584
2022-04-08,4024894118
2022-04-09,4053305493
2022-04-10,4106559764
2022-04-11,4075997437
2022-04-12,3850908985
2022-04-13,3860577821
2022-04-14,4089541250
2022-04-15,3971780747
2022-04-16,4027227902
2022-04-17,3975970069
2022-04-18,3890719398
2022-04-19,4059997833
2022-04-20,4103747231
2022-04-21,4016856795
2022-04-22,3952371780
2022-04-23,3842766127
2022-04-24,3965697713
2022-04-25,3806204017
2022-04-26,3948776649
2022-04-27,3767772455
2022-04-28,3899913937
2022-04-29,3882353190
2022-04-30,3838258579
2022-05-01,3555628093
2022-05-02,3632275189
